,MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA,Time_Used
1288,2023-01-25 22:17:03.156,4,Messenger.exe,0,453.487
1289,2023-01-25 22:24:36.643,4,chrome.exe,0,741.236
1290,2023-01-25 22:36:57.879,4,Messenger.exe,0,342.83
1291,2023-01-25 22:42:40.709,4,chrome.exe,0,1132.395
1292,2023-01-25 23:01:33.104,4,Messenger.exe,0,6.046
1293,2023-01-25 23:01:39.150,4,chrome.exe,0,36.221
1294,2023-01-25 23:02:15.371,4,Messenger.exe,0,191.666
1295,2023-01-25 23:05:27.037,4,chrome.exe,0,18.188
1296,2023-01-25 23:05:45.225,4,cmd.exe,0,3.046
1297,2023-01-25 23:05:48.271,4,cmd.exe,0,13.063
1298,2023-01-25 23:06:01.334,4,chrome.exe,0,16.104
1299,2023-01-25 23:06:17.438,4,cmd.exe,0,67.624
1300,2023-01-25 23:07:25.062,4,chrome.exe,0,13.131
1301,2023-01-25 23:07:38.193,4,cmd.exe,0,26.234
1302,2023-01-25 23:08:04.427,4,chrome.exe,0,5.063
1303,2023-01-25 23:08:09.490,4,explorer.exe,0,5.047
1304,2023-01-25 23:08:14.537,4,chrome.exe,0,5.034
1305,2023-01-25 23:08:19.571,4,VsDebugConsole.exe,0,2.008
1306,2023-01-25 23:08:21.579,4,chrome.exe,0,3.026
1307,2023-01-25 23:08:24.605,4,cmd.exe,0,72.685
1308,2023-01-25 23:09:37.290,4,chrome.exe,0,1934.44
1309,2023-01-25 23:41:51.730,4,explorer.exe,0,4.019
1310,2023-01-25 23:41:55.749,4,cmd.exe,0,1.006
1311,2023-01-25 23:41:56.755,4,explorer.exe,0,2.008
1312,2023-01-25 23:41:58.763,4,VsDebugConsole.exe,0,0.0
1313,2023-01-25 23:44:32.729,4,s0,0,0.0
1314,2023-01-25 23:44:32.729,4,VsDebugConsole.exe,0,12.074
1315,2023-01-25 23:44:44.803,4,devenv.exe,0,1.004
1316,2023-01-25 23:44:45.807,4,explorer.exe,0,15.084
1317,2023-01-25 23:45:00.891,4,DB Browser for SQLite.exe,0,109.679
1318,2023-01-25 23:46:50.570,4,explorer.exe,0,5.027
1319,2023-01-25 23:46:55.597,4,chrome.exe,0,26.206
1320,2023-01-25 23:47:21.803,4,explorer.exe,0,133.85
1321,2023-01-25 23:49:35.653,4,Messenger.exe,0,159.897
1322,2023-01-25 23:52:15.550,4,explorer.exe,0,49.308
1323,2023-01-25 23:53:04.858,4,Messenger.exe,0,97.543
1324,2023-01-25 23:54:42.401,4,explorer.exe,0,6.031
1325,2023-01-25 23:54:48.432,4,chrome.exe,0,840.031
1326,2023-01-26 00:08:48.463,4,Messenger.exe,0,1671.712
1327,2023-01-26 00:36:40.175,4,chrome.exe,0,6.046
1328,2023-01-26 00:36:46.221,4,Messenger.exe,0,16.095
1329,2023-01-26 00:37:02.316,4,explorer.exe,0,8611.865
1330,2023-01-26 03:00:34.181,4,LockApp.exe,0,6.035
1331,2023-01-26 03:00:40.216,4,explorer.exe,0,3.015
1332,2023-01-26 03:00:43.231,4,Zoom.exe,0,12.06
1333,2023-01-26 03:00:55.291,4,chrome.exe,0,24.198
1334,2023-01-26 03:01:19.489,4,Zoom.exe,0,1.006
1335,2023-01-26 03:01:20.495,4,chrome.exe,0,6.064
1336,2023-01-26 03:01:26.559,4,explorer.exe,0,1.007
1337,2023-01-26 03:01:27.566,4,ShellExperienceHost.exe,0,11.11
1338,2023-01-26 03:01:38.676,4,chrome.exe,0,25.181
1339,2023-01-26 03:02:03.857,4,Zoom.exe,0,8.058
1340,2023-01-26 03:02:11.915,4,Zoom.exe,0,24.161
1341,2023-01-26 03:02:36.076,4,Zoom.exe,0,1.005
1342,2023-01-26 03:02:37.081,4,chrome.exe,0,35.324
1343,2023-01-26 03:03:12.405,4,Zoom.exe,0,12.112
1344,2023-01-26 03:03:24.517,4,chrome.exe,0,63.526
1345,2023-01-26 03:04:28.043,4,explorer.exe,0,1.008
1346,2023-01-26 03:04:29.051,4,Zoom.exe,0,11.075
1347,2023-01-26 03:04:40.126,4,chrome.exe,0,5.038
1348,2023-01-26 03:04:45.164,4,Zoom.exe,0,8.066
1349,2023-01-26 03:04:53.230,4,chrome.exe,0,147.057
1350,2023-01-26 03:07:20.287,4,explorer.exe,0,14.206
1351,2023-01-26 03:07:34.493,4,chrome.exe,0,80.58
1352,2023-01-26 03:08:55.073,4,Zoom.exe,0,3.028
1353,2023-01-26 03:08:58.101,4,chrome.exe,0,3.028
1354,2023-01-26 03:09:01.129,4,explorer.exe,0,1.003
1355,2023-01-26 03:09:02.132,4,Zoom.exe,0,361.233
1356,2023-01-26 03:15:03.365,4,Teams.exe,0,33.256
1357,2023-01-26 03:15:36.621,4,Zoom.exe,0,74.641
